Date,SU29007RMFS0_clean,SU29007RMFS0_dirty,SU29007RMFS0_cashflow,SU29007RMFS0_numtrades,SU29007RMFS0_stale,SU29008RMFS8_clean,SU29008RMFS8_dirty,SU29008RMFS8_cashflow,SU29008RMFS8_numtrades,SU29008RMFS8_stale,SU29009RMFS6_clean,SU29009RMFS6_dirty,SU29009RMFS6_cashflow,SU29009RMFS6_numtrades,SU29009RMFS6_stale,SU29010RMFS4_clean,SU29010RMFS4_dirty,SU29010RMFS4_cashflow,SU29010RMFS4_numtrades,SU29010RMFS4_stale,SU29013RMFS8_clean,SU29013RMFS8_dirty,SU29013RMFS8_cashflow,SU29013RMFS8_numtrades,SU29013RMFS8_stale,SU29015RMFS3_clean,SU29015RMFS3_dirty,SU29015RMFS3_cashflow,SU29015RMFS3_numtrades,SU29015RMFS3_stale,SU29017RMFS9_clean,SU29017RMFS9_dirty,SU29017RMFS9_cashflow,SU29017RMFS9_numtrades,SU29017RMFS9_stale,SU29018RMFS7_clean,SU29018RMFS7_dirty,SU29018RMFS7_cashflow,SU29018RMFS7_numtrades,SU29018RMFS7_stale,SU26228RMFS5_clean,SU26228RMFS5_dirty,SU26228RMFS5_cashflow,SU26228RMFS5_numtrades,SU26228RMFS5_stale,SU26233RMFS5_clean,SU26233RMFS5_dirty,SU26233RMFS5_cashflow,SU26233RMFS5_numtrades,SU26233RMFS5_stale
2022-07-07,104.125,1071.4,694.5400000000001,13,0,105.822,1086.21,710.4300000000001,75,0,108.2,1100.88,725.88,222,0,110.199,1108.0,736.71,279,0,98.345,985.4100000000001,140.66000000000003,17,0,98.57,1009.73,109.0,2,0,98.279,990.4699999999999,122.97999999999999,31,0,98.18,989.4799999999999,121.36,22,0,93.947,955.82,228.9,254,0,79.0,815.91,119.34,665,0
2022-07-08,104.093,1071.3300000000002,0.0,36,0,105.57,1084.02,0.0,77,0,108.296,1102.21,0.0,130,0,110.25,1108.91,0.0,316,0,98.3,985.2,0.0,26,0,98.55,1009.78,0.0,18,0,98.32,991.13,0.0,30,0,98.254,990.4699999999999,0.0,30,0,94.2,958.56,0.0,242,0,78.85,814.57,0.0,776,0
2022-07-11,104.088,1072.0300000000002,0.0,17,0,105.852,1087.83,0.0,58,0,108.297,1103.3600000000001,0.0,136,0,110.299,1110.61,0.0,275,0,98.29,985.8299999999999,0.0,25,0,98.55,1010.5,0.0,2,0,98.331,991.9599999999999,0.0,30,0,98.151,990.16,0.0,64,0,93.99,957.09,0.0,274,0,78.6,812.58,0.0,663,0
2022-07-12,104.109,1072.49,0.0,18,0,105.95,1089.14,0.0,71,0,108.3,1103.76,0.0,147,0,110.22,1110.22,0.0,239,0,98.239,985.56,0.0,28,0,98.65,1011.74,0.0,5,0,98.202,990.91,0.0,13,0,98.15,990.39,0.0,48,0,93.6,953.4,0.0,397,0,78.6,812.74,0.0,804,0
2022-07-13,104.376,1075.41,0.0,22,0,105.94,1089.3700000000001,0.0,57,0,108.25,1103.64,0.0,234,0,109.974,1108.16,0.0,288,0,98.298,986.39,0.0,10,0,98.55,1010.99,0.0,3,0,98.2,991.14,0.0,24,0,98.2,991.14,0.0,28,0,93.402,951.63,0.0,310,0,78.31,810.01,0.0,633,0
2022-07-14,103.905,1070.95,0.0,8,0,106.04,1090.7,0.0,52,0,108.271,1104.23,0.0,178,0,110.099,1109.81,0.0,237,0,98.2,985.65,0.0,22,0,98.521,1010.94,0.0,2,0,98.195,991.33,0.0,25,0,98.12,990.58,0.0,34,0,93.455,952.37,0.0,256,0,78.497,812.0500000000001,0.0,651,0
2022-07-15,103.935,1071.5,0.0,18,0,106.035,1090.98,0.0,61,0,108.109,1102.99,0.0,172,0,110.104,1110.26,0.0,233,0,98.279,986.6899999999999,0.0,7,0,98.698,1012.96,0.0,1,0,98.18,991.43,0.0,19,0,98.199,991.62,0.0,18,0,93.622,954.25,0.0,243,0,78.841,815.65,0.0,520,0
2022-07-18,104.05,1073.41,0.0,29,0,105.751,1089.1299999999999,0.0,111,0,108.15,1104.53,0.0,149,0,109.9,1109.42,0.0,278,0,98.2,986.66,0.0,10,0,98.7,1013.74,0.0,1,0,98.255,992.9399999999999,0.0,14,0,98.199,992.38,0.0,23,0,93.268,951.3399999999999,0.0,311,0,78.753,815.28,0.0,765,0
2022-07-19,103.967,1072.8300000000002,0.0,17,0,105.8,1089.95,0.0,50,0,108.162,1105.03,0.0,113,0,109.96,1110.4199999999998,0.0,246,0,98.2,986.92,0.0,18,0,98.389,1010.89,0.0,10,0,98.15,992.15,0.0,14,0,98.114,991.79,0.0,18,0,92.92,948.07,0.0,261,0,78.7,814.91,0.0,482,0
2022-07-20,104.1,1074.41,0.0,23,0,106.0,1092.28,0.0,57,0,108.23,1106.08,0.0,150,0,109.981,1111.03,0.0,207,0,98.25,987.67,0.0,11,0,98.389,1011.14,0.0,0,0,98.062,991.52,0.0,15,0,98.197,992.87,0.0,35,0,93.389,952.97,0.0,194,0,78.798,816.0600000000001,0.0,523,0
